SAVI,EVI,TCART,CIrededge１,DVI,OSAVI,RDVI,TVI,MSAVI,MTVI,CV
0.394628956,0.383929289,0.209295285,0.247483925,0.200040096,0.475877843,0.392039451,13.33053234,0.000509657,0.074235673,0.5827
0.200114018,0.179831773,0.084067462,0.114146324,0.080682206,0.304723594,0.249261739,5.37289816,-0.278963028,0.032676167,0.3358
0.318954007,0.30063287,0.153539796,0.2103593,0.146928098,0.418617533,0.336206612,9.79117051,-0.114998151,0.056765605,0.6749
0.439483165,0.43597738,0.249560275,0.346167735,0.237352131,0.504890061,0.426223761,15.81954976,0.06959061,0.085574237,0.6258
0.44245508,0.439431874,0.251763579,0.34899657,0.239667501,0.507217039,0.428720184,15.980725,0.074714206,0.086328426,0.7649
0.317991151,0.299646667,0.154208598,0.210107812,0.146474556,0.417381407,0.335210185,9.770361462,-0.116706928,0.056683073,0.5976
0.385840887,0.373876933,0.200091944,0.27722928,0.192863933,0.470652027,0.38589746,12.84262891,-0.012374645,0.071912919,0.5668
0.589760356,0.62553308,0.422208966,0.600522944,0.402359355,0.588792852,0.556176354,26.83053406,0.26319532,0.127740784,0.8759
0.361800025,0.348953227,0.18272954,0.282541668,0.183780386,0.435558568,0.359084549,11.9295537,-0.064456915,0.06581756,0.6307
0.411145696,0.402897034,0.223699479,0.309556174,0.213408181,0.486582323,0.404325789,14.21649735,0.025732469,0.07832556,0.6926
0.356711895,0.341573194,0.180863513,0.248205738,0.172324797,0.448017472,0.363584716,11.48768008,-0.058425352,0.065341966,0.7684
0.351493264,0.335823689,0.177074242,0.242581792,0.16861123,0.44424028,0.359848876,11.24425216,-0.066248916,0.064154979,0.6236
0.355268286,0.339908397,0.178864415,0.245264536,0.170989163,0.447681448,0.362950214,11.39969468,-0.060071013,0.064930605,0.6151
0.349978461,0.334251199,0.176742734,0.242460074,0.167927606,0.442224272,0.35823947,11.19366236,-0.069178994,0.063861696,0.6748
0.561062715,0.584368401,0.239615263,0.51950829,0.346278999,0.591145576,0.530683361,22.81575617,0.277794433,0.113685622,0.9227
0.290334814,0.270541717,0.137073162,0.185825526,0.129560998,0.393359706,0.314815189,8.646004848,-0.157215517,0.050797866,0.4172
0.19869886,0.178318571,0.070097729,0.078950246,0.079518169,0.305496508,0.251092727,5.071079398,-0.279465987,0.030169342,0.2139
0.266840774,0.246311228,0.122657716,0.125467643,0.115964444,0.371830614,0.297565505,7.734701526,-0.190519634,0.04588393,0.4417
0.338377493,0.321534758,0.168052561,0.229503903,0.159702404,0.434035477,0.350214623,10.65541644,-0.086141048,0.061220887,0.5153
0.303402159,0.284224386,0.144522735,0.197351396,0.137465742,0.404761671,0.324351113,9.163312886,-0.138320709,0.053492576,0.5577
0.285105593,0.265094185,0.133556112,0.18122901,0.1264163,0.388850561,0.311118771,8.43493655,-0.164604998,0.049671699,0.5682
0.209575407,0.189152933,0.159284432,0.123216536,0.085745626,0.313272265,0.254280708,9.694382164,-0.267871275,0.071499046,0.3044
0.530588062,0.556242073,0.353634434,0.663737503,0.386142321,0.513730064,0.502015385,24.39635561,0.081974557,0.110789915,0.9266
0.396216631,0.385708128,0.210061501,0.290440843,0.201150111,0.47720674,0.393343005,13.40102957,0.00319124,0.074561792,0.6793
0.52062277,0.535026994,0.329515194,0.464294402,0.316001513,0.553948924,0.49323938,21.0566393,0.190448308,0.107198548,0.7057
0.363670731,0.34928886,0.1866257,0.256085452,0.177396716,0.452898144,0.368544365,11.82581083,-0.048023182,0.06699739,0.7153
0.450556476,0.448917139,0.256123385,0.357660824,0.246188746,0.513304286,0.435465956,16.3956291,0.088471979,0.088107676,0.8613
0.2731173,0.25176,0.153403248,0.196716553,0.115969413,0.390573411,0.313406911,8.188757288,-0.174790671,0.050238363,0.7561
0.508743696,0.520496186,0.29128074,0.465078701,0.305647107,0.54464881,0.482558057,20.44631183,0.169244444,0.105002708,0.6987
0.424432852,0.418265224,0.236468914,0.325821125,0.224198068,0.495635497,0.414652498,14.9571712,0.046711604,0.081795269,0.6053
0.375218091,0.361743594,0.189507734,0.246494465,0.184066057,0.46500552,0.379025473,12.26605716,-0.027337241,0.06923106,0.8068
0.544784145,0.558584532,0.123578264,0.258543765,0.303124994,0.612844765,0.524017873,19.6786428,0.311716275,0.101795947,0.4692
0.522908001,0.533534715,0.173622855,0.268017562,0.29460526,0.583264924,0.501498937,18.77752285,0.24384684,0.096077931,0.6173
0.422666973,0.416833228,0.278018492,0.396277983,0.225739131,0.489540956,0.411371399,16.0198296,0.038587998,0.090070065,0.7988
0.353270191,0.337833233,0.179280457,0.245317845,0.170100851,0.444992759,0.360811524,11.34135773,-0.063985651,0.064613239,0.6333
0.248346537,0.228836496,0.104961265,0.174496079,0.110544441,0.337352185,0.269955953,7.03876061,-0.226628265,0.0405718,0.5243
0.493225578,0.500885691,0.321129509,0.422574453,0.287846781,0.537628381,0.469800696,20.1978033,0.150728176,0.107856717,0.7013
0.359494667,0.34469079,0.191585038,0.252102722,0.174502388,0.449614766,0.365362633,12.03738126,-0.054546538,0.069557463,0.8098
0.408624823,0.40001138,0.222591581,0.410493243,0.211452557,0.484749008,0.40233974,14.09670681,0.02166764,0.077808716,0.5339
0.521493722,0.531933744,0.172009184,0.240821561,0.294098361,0.581301688,0.500032302,18.6444757,0.239576427,0.095094112,0.5922
0.35829846,0.343404914,0.183588762,0.251329896,0.173799417,0.448395143,0.364299924,11.58622227,-0.056619015,0.065807047,0.553
0.279883004,0.26249733,0.116277619,0.227565801,0.134776147,0.352524701,0.285842504,8.32143632,-0.195233965,0.045930666,0.4926
0.385697755,0.374014989,-0.056439723,0.282117624,0.194091937,0.467878196,0.384484228,12.9382943,-0.014895931,0.072338905,0.0775
0.024126844,0.020466547,-0.022183009,0.024037295,0.008741694,0.042960219,0.041921188,0.850015168,-0.492339294,0.006276461,0.0582
0.35394129,0.338610078,0.180611663,0.246744762,0.170738062,0.445109827,0.361083536,11.38615912,-0.063256171,0.064833533,0.3432
0.384625326,0.372737857,0.203544128,0.279874867,0.192976185,0.467721651,0.38397031,12.86597767,-0.016031563,0.072021013,0.4351
0.364482812,0.350186786,0.187282884,0.256986838,0.177971297,0.453514743,0.369153467,11.86452559,-0.046766525,0.067188962,0.4734
0.30711312,0.288128047,0.147146145,0.200464624,0.13972096,0.408034656,0.327129929,9.318291934,-0.13284192,0.054323007,0.4298
0.411060729,0.402732561,0.224086417,0.308658604,0.213028695,0.487076229,0.404496276,14.20796501,0.026143785,0.078369437,0.4529
0.468688333,0.470845319,0.277229494,0.38560297,0.263674331,0.5232995,0.449646708,17.5787083,0.114713903,0.093196147,0.727
0.305306486,0.28623928,0.146428556,0.199247224,0.138672052,0.406294659,0.325671068,9.247986114,-0.13560591,0.053949703,0.3005
0.463837961,0.464981867,0.272484933,0.378550374,0.259092321,0.520395763,0.445734414,17.2766638,0.107421141,0.091932347,0.704
0.300556411,0.281216761,0.14268243,0.194449945,0.135663697,0.402487972,0.322403734,9.04332311,-0.142348941,0.052866694,0.4464
0.280412332,0.260234746,0.130461442,0.176966807,0.123664448,0.384631663,0.307708742,8.246206218,-0.171270705,0.048642755,0.4395
0.371257128,0.357793824,0.194382397,0.265629464,0.18321522,0.457752753,0.373792412,12.22246878,-0.03695291,0.068943057,0.4999
0.289588997,0.269793154,0.136834745,0.185566845,0.129224011,0.3923623,0.314016372,8.621134506,-0.158487738,0.050650165,0.3563
0.32425572,0.304585013,0.148443141,0.189871285,0.143715937,0.442438617,0.353989979,9.918641274,-0.09576641,0.059111181,0.4064
0.225293411,0.204516214,0.098277713,0.133157822,0.093434873,0.331226067,0.267406924,6.226560086,-0.246648739,0.03753189,0.3218
0.379029842,0.366415021,0.176806285,0.273074205,0.18864082,0.464014519,0.379919252,11.37821355,-0.024446695,0.060348119,0.4457
0.290752354,0.270969778,0.136702864,0.185969037,0.129783514,0.393812049,0.315182197,8.653281766,-0.15656646,0.050810439,0.425
0.329476826,0.313684534,0.158915749,0.249996613,0.161247386,0.409146732,0.333262117,10.41124088,-0.11289901,0.058232109,0.5431
0.261243661,0.240581629,0.118684248,0.161182957,0.112741183,0.366836617,0.293718856,7.514828104,-0.198128554,0.044673973,0.4419
0.307275626,0.288238645,0.146356842,0.199656268,0.13958289,0.408867163,0.32773763,9.31103829,-0.132170499,0.054307295,0.5424
0.24098956,0.220134889,0.10722286,0.14520108,0.101674099,0.347183865,0.278948104,6.779493682,-0.225746295,0.04063543,0.3988
0.275503687,0.255200051,0.127330568,0.173378054,0.120922709,0.37981513,0.303856074,8.056554306,-0.178407795,0.047591867,0.4015
0.270380293,0.249885452,0.123937775,0.16815847,0.117792726,0.375754023,0.300668185,7.856223852,-0.185216086,0.046552696,0.4969
